MODEL,SCENARIO,REGION,VARIABLE,2015,AVERAGE
Reference,Expenditure deciles,Belgium,Savings Rate|Rural|D1,33.86918224441771,mean
Reference,Expenditure deciles,Belgium,Household Size|Rural|D1,2.9288232055012977,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Rural|D1,1.8159189964971887,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Rural|D1,17.919806003752054,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Rural|D1,11.995404765804484,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Rural|D1,2.715752093317287,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Rural|D1,-31.630962862873822,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Rural|D1,0.048570146228975944,mean
Reference,Expenditure deciles,Belgium,Income Decile|Rural|D1,0.07278011543307278,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Urban|D1,30.03087754026051,mean
Reference,Expenditure deciles,Belgium,Household Size|Urban|D1,2.8057153933378585,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Urban|D1,1.772895878232405,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Urban|D1,16.49606091436854,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Urban|D1,9.398249271677841,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Urban|D1,2.200986685583692,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Urban|D1,-27.095296871630076,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Urban|D1,0.045544275610376495,mean
Reference,Expenditure deciles,Belgium,Income Decile|Urban|D1,0.06525371681118768,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Rural|D2,23.063694652223408,mean
Reference,Expenditure deciles,Belgium,Household Size|Rural|D2,2.4313519846178506,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Rural|D2,1.6157019567559774,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Rural|D2,14.99322494505032,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Rural|D2,11.602271539541377,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Rural|D2,4.0472038996774184,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Rural|D2,-29.642700384269112,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Rural|D2,0.05523707221116949,mean
Reference,Expenditure deciles,Belgium,Income Decile|Rural|D2,0.06971369022552933,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Urban|D2,26.219308533346215,mean
Reference,Expenditure deciles,Belgium,Household Size|Urban|D2,2.4060923357985162,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Urban|D2,1.611839055411808,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Urban|D2,16.336117646694557,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Urban|D2,7.985531343117499,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Urban|D2,2.880495643526288,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Urban|D2,-26.202144633338346,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Urban|D2,0.05743305803490626,mean
Reference,Expenditure deciles,Belgium,Income Decile|Urban|D2,0.07751657442847273,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Rural|D3,26.940330543607384,mean
Reference,Expenditure deciles,Belgium,Household Size|Rural|D3,3.240983377237452,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Rural|D3,1.9830579908085626,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Rural|D3,16.682853352973485,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Rural|D3,9.113164503866201,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Rural|D3,4.954179630593599,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Rural|D3,-29.75019748743329,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Rural|D3,0.08171016745709062,mean
Reference,Expenditure deciles,Belgium,Income Decile|Rural|D3,0.10374968345460091,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Urban|D3,14.636828714215273,mean
Reference,Expenditure deciles,Belgium,Household Size|Urban|D3,2.3109238585401077,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Urban|D3,1.5694423040410428,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Urban|D3,15.802161632771197,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Urban|D3,7.355585855375545,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Urban|D3,3.050577244437143,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Urban|D3,-25.208324732583883,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Urban|D3,0.06688091449129725,mean
Reference,Expenditure deciles,Belgium,Income Decile|Urban|D3,0.08249261867375154,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Rural|D4,21.108672227524025,mean
Reference,Expenditure deciles,Belgium,Household Size|Rural|D4,2.92280223436081,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Rural|D4,1.8081873695330497,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Rural|D4,14.758736433826423,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Rural|D4,8.86792160140339,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Rural|D4,4.714598340793782,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Rural|D4,-27.341256376023594,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Rural|D4,0.08391398106121485,mean
Reference,Expenditure deciles,Belgium,Income Decile|Rural|D4,0.09721418513388919,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Urban|D4,19.86750388516049,mean
Reference,Expenditure deciles,Belgium,Household Size|Urban|D4,2.248305261190451,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Urban|D4,1.547434709601197,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Urban|D4,14.489617442905185,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Urban|D4,7.246293755532069,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Urban|D4,3.3535442175791226,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Urban|D4,-24.089455416016374,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Urban|D4,0.07472078228939671,mean
Reference,Expenditure deciles,Belgium,Income Decile|Urban|D4,0.09035077889533503,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Rural|D5,14.084301917390585,mean
Reference,Expenditure deciles,Belgium,Household Size|Rural|D5,2.0764933209129586,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Rural|D5,1.4528595824302675,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Rural|D5,13.403540881449194,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Rural|D5,9.017325332518716,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Rural|D5,5.779867859901946,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Rural|D5,-27.20073407386986,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Rural|D5,0.07431663181576169,mean
Reference,Expenditure deciles,Belgium,Income Decile|Rural|D5,0.0817479806291133,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Urban|D5,17.208564285738,mean
Reference,Expenditure deciles,Belgium,Household Size|Urban|D5,2.302698563770596,mean
Reference,Expenditure deciles,Belgium,Equivalence Household Size|Urban|D5,1.5660112441430503,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Food|Urban|D5,14.419892361515519,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Housing|Urban|D5,6.3148577152867125,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Energy|Transportation|Urban|D5,3.212455914736665,mean
Reference,Expenditure deciles,Belgium,Expenditure Share|Other|Urban|D5,-22.947205991538898,mean
Reference,Expenditure deciles,Belgium,Expenditure Decile|Urban|D5,0.08412986420936902,mean
Reference,Expenditure deciles,Belgium,Income Decile|Urban|D5,0.0989267972587866,mean
Reference,Expenditure deciles,Belgium,Savings Rate|Rural|D6,9.614483114060599,mean
