year,iso3,var,element,settlement,dist,value
latest,USA,expcat_input,food,urban,D1,24.39
latest,USA,expcat_input,food,rural,D1,24.15
latest,USA,expcat_input,food,urban,D2,21.06
latest,USA,expcat_input,food,rural,D2,17.88
latest,USA,expcat_input,food,urban,D3,20.04
latest,USA,expcat_input,food,rural,D3,19.33
latest,USA,expcat_input,food,urban,D4,17.92
latest,USA,expcat_input,food,rural,D4,18.96
latest,USA,expcat_input,food,urban,D5,18.35
latest,USA,expcat_input,food,rural,D5,17.35
latest,USA,expcat_input,food,urban,D6,16.72
latest,USA,expcat_input,food,rural,D6,15.48
latest,USA,expcat_input,food,urban,D7,17.07
latest,USA,expcat_input,food,rural,D7,17.5
latest,USA,expcat_input,food,urban,D8,16.55
latest,USA,expcat_input,food,rural,D8,16.67
latest,USA,expcat_input,food,urban,D9,15.18
latest,USA,expcat_input,food,rural,D9,15.34
latest,USA,expcat_input,food,urban,D10,10.83
latest,USA,expcat_input,food,rural,D10,11.6
latest,USA,expcat_input,energy_housing,urban,D1,13.85
latest,USA,expcat_input,energy_housing,rural,D1,18.86
latest,USA,expcat_input,energy_housing,urban,D2,11.89
latest,USA,expcat_input,energy_housing,rural,D2,14.31
latest,USA,expcat_input,energy_housing,urban,D3,11.62
latest,USA,expcat_input,energy_housing,rural,D3,17.52
latest,USA,expcat_input,energy_housing,urban,D4,10.95
latest,USA,expcat_input,energy_housing,rural,D4,12.43
latest,USA,expcat_input,energy_housing,urban,D5,9.71
latest,USA,expcat_input,energy_housing,rural,D5,11.77
latest,USA,expcat_input,energy_housing,urban,D6,9.03
latest,USA,expcat_input,energy_housing,rural,D6,12.97
latest,USA,expcat_input,energy_housing,urban,D7,8.49
latest,USA,expcat_input,energy_housing,rural,D7,12.4
latest,USA,expcat_input,energy_housing,urban,D8,7.94
latest,USA,expcat_input,energy_housing,rural,D8,9.66
latest,USA,expcat_input,energy_housing,urban,D9,7.02
latest,USA,expcat_input,energy_housing,rural,D9,9.44
latest,USA,expcat_input,energy_housing,urban,D10,4.7
latest,USA,expcat_input,energy_housing,rural,D10,7.33
latest,USA,expcat_input,energy_transportation,urban,D1,9.35
latest,USA,expcat_input,energy_transportation,rural,D1,10.39
latest,USA,expcat_input,energy_transportation,urban,D2,12.04
latest,USA,expcat_input,energy_transportation,rural,D2,11.13
latest,USA,expcat_input,energy_transportation,urban,D3,11.69
latest,USA,expcat_input,energy_transportation,rural,D3,11.66
latest,USA,expcat_input,energy_transportation,urban,D4,12.87
latest,USA,expcat_input,energy_transportation,rural,D4,13.04
latest,USA,expcat_input,energy_transportation,urban,D5,13.64
latest,USA,expcat_input,energy_transportation,rural,D5,17.44
latest,USA,expcat_input,energy_transportation,urban,D6,14.81
latest,USA,expcat_input,energy_transportation,rural,D6,19.14
latest,USA,expcat_input,energy_transportation,urban,D7,14.03
latest,USA,expcat_input,energy_transportation,rural,D7,16.23
latest,USA,expcat_input,energy_transportation,urban,D8,13.89
latest,USA,expcat_input,energy_transportation,rural,D8,20.14
latest,USA,expcat_input,energy_transportation,urban,D9,13.69
latest,USA,expcat_input,energy_transportation,rural,D9,12.51
latest,USA,expcat_input,energy_transportation,urban,D10,13.63
latest,USA,expcat_input,energy_transportation,rural,D10,16.1
latest,USA,incomecat,other,urban,D1,1.42
latest,USA,incomecat,other,rural,D1,3.23
latest,USA,incomecat,other,urban,D2,1.64
latest,USA,incomecat,other,rural,D2,3.33
latest,USA,incomecat,other,urban,D3,2.6
latest,USA,incomecat,other,rural,D3,4.58
latest,USA,incomecat,other,urban,D4,2.88
latest,USA,incomecat,other,rural,D4,1.04
latest,USA,incomecat,other,urban,D5,2.45
latest,USA,incomecat,other,rural,D5,1.37
latest,USA,incomecat,other,urban,D6,2.13
latest,USA,incomecat,other,rural,D6,0.85
latest,USA,incomecat,other,urban,D7,2.67
latest,USA,incomecat,other,rural,D7,2.24
latest,USA,incomecat,other,urban,D8,2.26
latest,USA,incomecat,other,rural,D8,11.12
latest,USA,incomecat,other,urban,D9,2.39
latest,USA,incomecat,other,rural,D9,2.56
latest,USA,incomecat,other,urban,D10,8.7
latest,USA,incomecat,other,rural,D10,5.8
latest,USA,incomecat,labour,urban,D1,23.07
latest,USA,incomecat,labour,rural,D1,15.21
latest,USA,incomecat,labour,urban,D2,27.22
latest,USA,incomecat,labour,rural,D2,19.25
latest,USA,incomecat,labour,urban,D3,47.07
latest,USA,incomecat,labour,rural,D3,23.64
latest,USA,incomecat,labour,urban,D4,56.67
latest,USA,incomecat,labour,rural,D4,38.46
latest,USA,incomecat,labour,urban,D5,69.97
latest,USA,incomecat,labour,rural,D5,49.2
latest,USA,incomecat,labour,urban,D6,74.95
latest,USA,incomecat,labour,rural,D6,46.51
latest,USA,incomecat,labour,urban,D7,82.18
latest,USA,incomecat,labour,rural,D7,63.24
latest,USA,incomecat,labour,urban,D8,80.73
latest,USA,incomecat,labour,rural,D8,69.68
latest,USA,incomecat,labour,urban,D9,84.54
latest,USA,incomecat,labour,rural,D9,85.31
latest,USA,incomecat,labour,urban,D10,82.07
latest,USA,incomecat,labour,rural,D10,68.51
latest,USA,incomecat,capital,urban,D1,17.69
latest,USA,incomecat,capital,rural,D1,9.13
latest,USA,incomecat,capital,urban,D2,12.4
